experience,median_integration_time,component,platform,priority,description_size,hascode,files,activities,comments,tossing,comments_interval,churn,fix_time,workload,bug_id,delay,days,release_delay,resolver_experience,has_stack,resolver,rank_ratio,entire_int_rate,prev_int_rate,coming_from_prev,active_developers,release_size,class,class2
11,3,'Documentation and Help','Windows NT',P2,10,false,751,6,7,1,50233.66667,11072,692,104,3,3,936,3,0,false,jrobbins,0.276422764,0,0,0,26,521,1,after-3-or-more
3,0,'Class Diagram',All,P2,13,false,885,16,14,1,23770.46154,5298,1279,650,10,1,121,1,1,false,jrobbins,0.993315508,0,0,222,15,392,0,after-1
3,0,Critics,All,P2,6,false,187,22,15,2,22072.71429,432,1279,650,12,1,121,1,730,false,issues@argouml,0.99197861,0,0,222,15,392,0,after-1
2,0,Other,other,P2,26,false,1,5,5,0,75351,2,74,15,35,3,1516,3,14,false,issues@argouml,0.037940379,0,0,0,26,521,1,after-3-or-more
2,0,Other,other,P2,34,false,1,5,5,0,75350.75,4,12,2,36,3,1578,3,1,true,issues@argouml,0.002710027,0,0,0,26,521,1,after-3-or-more
2,0,Other,Solaris,P2,40,false,57,5,5,0,75350.75,273,1,1,40,3,1578,3,0,false,issues@argouml,0,0,0,0,26,521,1,after-3-or-more
2,0,Other,Solaris,P2,22,false,1,5,5,0,75350.75,15,1,3,44,3,1578,3,2,false,issues@argouml,0.005420054,0,0,0,26,521,1,after-3-or-more
1,0,Other,Linux,P2,18,false,1,5,5,0,75351,39,41,17,55,3,1514,3,16,false,issues@argouml,0.043360434,0,0,0,26,521,1,after-3-or-more
9,4,'Class Diagram',Linux,P2,34,false,6,28,18,1,20108.29412,207,2307,38,77,0,162,0,29,false,andrea_nironi,0.185185185,1,1,0,15,165,1,next
9,3,'Class Diagram',Linux,P1,28,false,1,6,5,0,75351,57,5,7,80,3,1525,3,6,false,issues@argouml,0.016260163,0,0,0,26,521,1,after-3-or-more
4,0,Critics,'Windows 98',P2,59,false,3,22,25,0,12183.66667,14,1001,448,85,1,299,1,548,false,issues@argouml,0.735294118,0,0,222,15,392,1,after-1
4,0,Other,Linux,P3,57,false,17,7,5,0,75350.75,714,35,23,90,3,1489,3,22,false,issues@argouml,0.059620596,0,0,0,26,521,1,after-3-or-more
7,0,Other,'Windows NT',P2,75,false,413,5,5,0,75351,15654,4,13,93,3,1519,3,12,true,issues@argouml,0.032520325,0,0,0,26,521,1,after-3-or-more
