experience,median_integration_time,component,platform,severity,priority,description_size,hascode,bug_id,files,comments,tossing,activities,comments_interval,churn,fix_time,workload,creation_to_release,days,delay,resolver,entire_int_rate,prev_int_rate,coming_from_prev,has_stack,resolver_experience,rank_ratio,active_developers,release_size,class,class2
7,0,Core,'All All',enhancement,P3,91,false,21475,1,11,1,10,319.3,41,64,77,2,415,3,Olivier Thomann,0,0,34,false,172,0.418032787,10,548,1,after-3-or-more
238,0,Core,'PC Linux',normal,P3,177,true,21672,1,13,1,6,130,2,0,13,0,472,4,Olivier Thomann,0,0,0,false,142,0.348314607,10,548,1,after-3-or-more
8,0,Core,'PC Windows 2000',normal,P2,197,true,21778,1,6,1,7,4.8,10,0,18,0,467,4,Olivier Thomann,0,0,0,false,145,0.505617978,10,548,1,after-3-or-more
105,0,Core,'PC Windows 2000',normal,P3,62,false,21957,2,6,2,9,528.2,27,97,170,2,367,3,Jerome Lanneluc,0,0,34,false,179,0.93989071,10,548,1,after-3-or-more
95,6,Core,'PC Windows 2000',enhancement,P3,84,false,22043,1,11,5,27,2853.7,48,1178,117,12,252,1,Frederic Fusier,0.674074074,0.674074074,44,false,294,0.397810219,14,566,1,after-1
1061,0,Core,'PC Windows 2000',normal,P3,83,false,22756,1,8,2,11,576.1428571,37,165,394,2,271,2,Jerome Lanneluc,0,0,178,false,248,0.750716332,10,548,1,after-2
380,0,Core,'PC Windows XP',normal,P3,60,false,22783,3,8,1,9,589.8571429,22,143,318,2,293,2,Olivier Thomann,0,0,178,false,235,0.603629417,10,548,1,after-2
1061,0,Core,'PC Windows 2000',normal,P3,90,false,23096,2,10,1,12,189.4444444,75,49,139,1,376,3,Olivier Thomann,0,0,34,false,196,0.767759563,10,548,1,after-3-or-more
905,0,Core,'PC Windows 2000',normal,P3,65,true,23117,1,5,1,8,96,14,2,57,1,423,3,Olivier Thomann,0,0,34,false,160,0.31147541,10,548,1,after-3-or-more
20,0,Core,'PC All',normal,P3,61,false,23126,4,10,1,15,280.1111111,767,75,199,1,349,2,Jerome Lanneluc,0,0,178,false,189,0.376313276,10,548,1,after-2
346,0,Core,'All All',major,P3,39,false,23181,1,3,0,5,180,12,1,59,1,422,3,Philipe Mulet,0,0,34,false,242,0.322404372,10,548,1,after-3-or-more
9,0,Core,'PC Windows 2000',normal,P2,208,true,23242,1,5,1,8,78,19,4,67,1,418,3,Olivier Thomann,0,0,34,false,166,0.363387978,10,548,1,after-3-or-more
6,0,Core,'All All',enhancement,P3,352,false,23669,2,14,2,22,2099.076923,51,1121,88,11,259,1,Jerome Lanneluc,0.674074074,0.674074074,44,false,704,0.295620438,14,566,1,after-1
1625,0,Core,'PC Windows 2000',normal,P3,44,true,24010,1,3,1,7,600.5,2,43,177,1,360,3,David Audel,0,0,34,false,93,0.978142077,10,548,1,after-3-or-more
444,0,Core,'PC Windows 2000',normal,P3,57,false,24308,1,6,1,13,369.8,19,55,232,1,341,2,Jerome Lanneluc,0,0,178,false,194,0.437440306,10,548,1,after-2
951,0,Core,'PC Windows 2000',normal,P3,60,true,24565,1,3,0,4,420.5,11,20,162,1,368,3,David Audel,0,0,34,false,86,0.893442623,10,548,1,after-3-or-more
1625,0,Core,'PC Windows 2000',normal,P3,30,false,24747,1,6,1,7,144.2,4,3,128,1,381,3,Olivier Thomann,0,0,34,false,192,0.713114754,10,548,1,after-3-or-more
111,0,Core,'PC Windows 2000',minor,P3,86,false,24939,1,4,2,7,216.3333333,5,13,164,1,368,3,David Audel,0,0,34,false,87,0.904371585,10,548,1,after-3-or-more
951,0,Core,'PC Windows 2000',normal,P3,59,false,25040,2,3,1,5,312.5,47,3,134,1,376,3,Jerome Lanneluc,0,0,34,false,173,0.745901639,10,548,1,after-3-or-more
61,0,Core,'All All',enhancement,P3,156,true,25092,2,18,1,8,35.35294118,79,23,186,1,356,2,Philipe Mulet,0,0,178,false,265,0.349570201,10,548,1,after-2
819,0,Core,'PC Windows 2000',normal,P3,162,true,25124,1,5,1,6,6,4,0,135,1,376,3,Philipe Mulet,0,0,34,true,258,0.75136612,10,548,1,after-3-or-more
444,0,Core,'PC Windows 2000',normal,P3,33,false,25184,1,8,1,6,79,27,16,183,1,359,2,Jerome Lanneluc,0,0,178,false,183,0.343839542,10,548,1,after-2
346,0,Core,'PC Windows 2000',critical,P2,88,false,25185,1,3,1,8,276.5,12,0,137,1,376,3,Olivier Thomann,0,0,34,true,194,0.756830601,10,548,1,after-3-or-more
